WEO Country Code,ISO,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
124,BEL,Belgium,"29,535.23","29,428.07","29,629.55","29,711.61","30,459.84","30,948.22","31,508.58","32,216.24","33,700.42","34,687.27","35,703.01","36,214.79","36,640.62","36,121.23","37,167.57","37,941.46","38,395.49","39,745.53","40,437.57","41,782.13","43,227.86","43,599.67","44,144.67","44,404.25","45,810.47","46,652.43","47,544.55","48,952.13","48,791.58","47,422.22","48,389.92","48,490.85","48,517.35","48,468.50","49,044.84","49,794.66","50,096.29","50,726.55","51,421.11","52,078.71","48,522.68","51,171.73","52,571.87","53,268.60","53,774.96","54,259.77","54,785.54",2020
339,BLZ,Belize,"3,020.73","3,021.16","2,741.96","2,829.09","3,065.93","2,940.60","3,065.98","3,644.49","3,961.31","4,457.24","4,817.85","5,231.76","5,715.38","5,896.28","5,737.68","5,627.95","5,566.90","5,563.74","5,566.15","5,941.33","6,534.47","6,692.76","6,860.38","7,312.20","7,417.52","7,368.99","7,526.36","7,369.31","7,427.21","7,247.92","7,294.96","7,219.45","7,204.97","7,112.19","7,210.25","7,211.06","7,024.55","6,969.15","6,988.60","6,929.95","5,814.01","6,166.38","6,371.92","6,421.90","6,421.90","6,421.90","6,421.90",2020
638,BEN,Benin,"2,564.60","2,526.44","2,492.36","2,365.58","2,302.53","2,325.24","2,315.01","2,198.77","2,202.75","2,078.56","2,195.71","2,212.50","2,200.05","2,248.34","2,216.51","2,274.35","2,299.23","2,358.56","2,380.50","2,411.99","2,478.22","2,532.63","2,570.79","2,579.70","2,614.21","2,581.64","2,606.82","2,685.13","2,738.19","2,724.09","2,704.71","2,707.87","2,759.85","2,876.90","2,975.85","2,945.97","2,961.44","3,044.52","3,159.37","3,283.84","3,316.95","3,404.12","3,527.41","3,653.43","3,784.09","3,919.18","4,058.16",2017
514,BTN,Bhutan,"1,343.09","1,486.03","1,567.15","1,644.33","1,726.87","1,752.03","1,832.77","2,128.74","2,373.93","2,459.13","2,652.82","2,787.90","2,883.71","3,027.37","3,137.25","3,345.68","3,517.82","3,655.84","3,781.16","3,938.49","4,099.58","4,259.78","4,532.50","4,867.31","5,110.02","5,354.27","5,634.98","6,282.23","6,886.11","7,196.82","7,783.44","8,447.25","8,886.37","9,092.63","9,338.28","9,738.41","10,332.50","10,851.90","11,208.40","11,639.56","11,431.73","11,105.02","11,460.03","11,995.31","12,780.40","13,385.85","14,019.99",2015
218,BOL,Bolivia,"6,029.03","5,585.80","5,256.07","4,940.48","4,829.75","4,651.68","4,439.28","4,455.63","4,491.51","4,566.42","4,680.41","4,826.16","4,805.31","4,871.24","4,956.93","5,087.44","5,205.62","5,357.03","5,517.51","5,435.12","5,407.99","5,396.62","5,429.63","5,476.70","5,604.61","5,750.97","5,924.15","6,090.76","6,358.72","6,465.64","6,625.06","6,860.40","7,100.32","7,467.42","7,757.10","8,013.70","8,233.76","8,456.07","8,688.55","8,757.26","7,874.20","8,144.91","8,357.39","8,545.15","8,737.52","8,927.12","9,095.23",2017
963,BIH,Bosnia and Herzegovina,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"4,581.21","5,668.81","6,458.79","7,132.06","7,432.96","7,600.44","7,976.01","8,281.56","8,792.73","9,157.86","9,673.91","10,268.68","10,866.18","10,829.45","11,006.82","11,240.31","11,331.12","11,803.80","12,145.04","12,713.62","13,280.09","13,836.66","14,483.75","14,993.05","14,440.49","14,917.61","15,464.04","15,977.12","16,538.11","17,103.21","17,676.87",2018
616,BWA,Botswana,"4,525.19","4,805.39","5,369.87","5,737.49","5,893.64","6,121.32","6,412.63","7,106.70","8,461.88","8,545.98","8,962.37","9,245.82","8,966.10","9,072.51","8,766.20","9,150.39","9,456.83","9,989.33","9,853.42","10,602.21","10,629.96","10,457.14","10,896.89","11,205.35","11,305.60","11,600.31","12,318.35","13,057.09","13,581.19","12,298.84","13,126.23","13,724.68","14,166.54","15,597.63","16,042.07","14,895.93","15,654.69","15,948.03","16,243.31","16,386.87","14,688.12","15,705.54","16,103.86","16,473.24","16,776.05","17,083.66","17,402.29",2019
223,BRA,Brazil,"11,391.52","10,652.22","10,484.55","9,912.99","10,221.08","10,802.57","11,386.78","11,572.04","11,390.94","11,549.92","10,744.86","10,673.59","10,451.81","10,766.10","11,163.16","11,476.90","11,395.94","11,600.78","11,461.36","11,342.66","11,669.35","11,667.51","11,869.50","11,858.18","12,393.26","12,643.12","12,998.51","13,643.39","14,190.40","14,027.78","14,936.01","15,394.31","15,554.69","15,886.78","15,831.19","15,137.91","14,522.03","14,596.87","14,736.82","14,827.29","14,117.35","14,796.02","14,929.79","15,142.28","15,375.55","15,619.33","15,868.79",2019
516,BRN,Brunei Darussalam,n/a,n/a,n/a,n/a,n/a,"88,095.96","83,983.63","81,542.66","78,691.08","78,826.65","77,449.40","77,715.51","79,367.16","77,772.64","78,053.03","79,787.87","80,079.72","77,015.29","74,653.71","75,136.39","75,400.26","75,597.72","75,934.02","76,931.68","75,148.61","75,692.59","77,497.81","73,472.45","69,665.08","67,424.29","68,072.73","69,441.78","69,139.42","66,898.52","64,532.73","63,523.17","61,236.05","60,280.82","58,553.73","58,555.74","59,071.41","60,099.31","61,507.32","62,832.01","64,054.17","65,228.70","66,426.67",2020
918,BGR,Bulgaria,"14,268.84","14,980.72","15,565.16","15,992.00","16,698.20","16,986.58","17,892.49","18,758.52","19,260.13","19,248.07","17,607.46","15,847.24","14,663.55","13,110.50","12,780.85","12,719.52","11,819.67","10,220.53","10,733.48","9,891.39","10,259.48","10,999.89","11,722.01","12,396.26","13,263.20","14,289.87","15,340.31","16,429.73","17,506.78","17,011.77","17,241.07","18,074.86","18,245.57","18,403.22","18,863.40","19,748.77","20,653.17","21,533.74","22,358.21","23,346.14","22,489.43","23,652.36","24,842.12","25,991.75","27,095.23","28,114.70","29,087.69",2020
748,BFA,Burkina Faso,977.191,979.878,969.57,934.1,925.061,"1,003.39","1,055.52","1,025.94","1,057.31","1,051.91","1,018.13","1,081.14","1,054.86","1,062.20","1,047.22","1,077.09","1,163.12","1,202.65","1,254.86","1,309.40","1,296.75","1,343.54","1,362.28","1,426.62","1,447.50","1,527.02","1,574.73","1,590.83","1,632.95","1,631.19","1,716.36","1,775.78","1,834.54","1,883.80","1,907.95","1,925.33","1,981.43","2,044.39","2,120.33","2,178.32","2,157.62","2,236.43","2,295.20","2,349.29","2,403.70","2,459.00","2,516.37",2018
618,BDI,Burundi,911.284,993.03,954.59,961.871,935.937,"1,016.44","1,019.60","1,045.08","1,066.41","1,050.03","1,055.41","1,084.64","1,065.24","1,000.54",945.837,854.913,772.302,762.966,785.268,771.27,762.145,752.266,747.541,748.139,753.704,783.06,801.411,804.928,817.097,821.152,836.463,844.029,855.054,870.183,880.664,821.668,791.413,770.707,760.306,751.762,722.275,712.696,720.938,732.593,746.411,762.421,776.038,2016
624,CPV,Cabo Verde,"1,937.68","2,069.41","2,089.32","2,242.31","2,278.44","2,423.66","2,441.91","2,494.87","2,589.73","2,678.81","2,637.34","2,612.49","2,628.34","2,753.64","2,954.20","3,094.15","3,221.41","3,387.64","3,592.13","3,933.69","4,134.26","4,302.59","4,445.81","4,695.83","4,847.98","5,055.04","5,444.52","5,877.43","6,200.94","6,057.61","6,080.13","6,250.74","6,245.69","6,221.66","6,184.41","6,170.77","6,381.56","6,535.10","6,864.15","7,167.75","6,036.15","6,203.36","6,529.01","6,845.43","7,177.52","7,532.83","7,905.15",2018
